Smiles & i_tanimoto
C=CC(C)(O)CCC=C(C)C & 1.0\\
CC=CC(O)CCC=C(C)C & 0.65\\
CCCC=CC1(O)C=CCC1 & 0.5\\
CC(C)=CC(C)(C)CC(C)O & 0.5\\
CCC(C=C(C)C)CC(C)O & 0.5\\
CCC(C)=CC(O)CC(C)C & 0.49\\
C=CC(C)(O)CCCC(C)C & 0.49\\
CC=CC(C)(C)CC(C)(C)O & 0.49\\
CC(C)=CC(O)CC(C)(C)C & 0.49\\
CCC=CC1(O)CC=CCC1 & 0.49\\
CC1(O)C=CCCCCCC1 & 0.48\\
CCCC=CC1(O)CCCC1 & 0.48\\
CCC=CCC(C)C(C)(C)O & 0.48\\
CCCCC=CC1(O)CCC1 & 0.48\\
CCC(C)C(C)(O)C=C(C)C & 0.48\\
CC(C)=CCC1(O)CC=CC1 & 0.47\\
C=CC(C)(O)CC=CC(C)C & 0.46\\
CC1C=CC(C)(O)CCCC1 & 0.46\\
CCCC=CC(C)(O)C1CC1 & 0.46\\
CCC(C)=CC1(O)CCCC1 & 0.45\\
CC(C)=CC1(O)CCCCC1 & 0.45\\
OC1(C=C2CCCC2)CCC1 & 0.44\\
CC(C)(O)CCC1=CCCC1 & 0.44\\
CC1=CC(CC(C)O)C=CC1 & 0.44\\
CC(C)C=CC1(O)CCCC1 & 0.44\\
CC(C)=CC1CCC(C)(O)C1 & 0.44\\
C=CC(C)=CC1(O)CCCC1 & 0.43\\
CCC1=CC(C)(O)CCCC1 & 0.43\\
CC(C)=CC1(O)CCC(C)C1 & 0.43\\
C=CC(C)CC=C(C)C(C)O & 0.43\\
